fgid, fgcat_id, srvg_sz, food,,,
vf,1,"125 mL, ½ tasse",Algues,,,
vf,1,"125 mL, ½ tasse, 6 tiges",Asperges,,,
vf,1,"125 mL, ½ tasse",Bette à carde,,,
vf,1,"125 mL, ½ tasse",Brocoli,,,
vf,2,"125 mL, ½ tasse, 1 grosse",Carotte,,,
vf,1,"250 mL, 1 tasse cru",Chou vert frisé/chou vert,,,
vf,1,"125 mL, ½ tasse, 4 choux",Choux de Bruxelles,,,
vf,2,"125 mL, ½ tasse",Citrouille,,,
vf,2,"125 mL, ½ tasse",Courge,,,
vf,1,"125 mL, ½ tasse",Crosses de fougère (têtes-de-violon),,,
vf,1,"125 mL, ½ tasse",Edemame (haricots de soya),,,
vf,1,"250 mL, 1 tasse",Endive,,,
vf,1,"250 mL, 1 tasse crus",Épinards,,,
vf,1,"250 mL, 1 tasse crues",Feuilles de moutarde,,,
vf,1,"250 mL, 1 tasse crues",Feuilles de pissenlit,,,
vf,1,"125 mL, ½ tasse",Gombo (okra),,,
vf,1,"125 mL, ½ tasse",Haricots verts,,,
vf,2,"125 mL, ½ tasse",Igname,,,
vf,1,"250 mL, 1 tasse crue",Laitue romaine,,,
vf,1,"250 mL, 1 tasse cru",Mesclun,,,
vf,1,"125 mL, ½ tasse cuit",Pak-choï /chou chinois (Choi sum),,,
vf,2,"125 mL, ½ tasse",Patate douce,,,
vf,1,"125 mL, ½ tasse, ½ poireau",Poireau,,,
vf,1,"125 mL, ½ tasse",Pois,,,
vf,1,"125 mL, ½ tasse",Pois mange-tout,,,
vf,1,"125 mL, ½ tasse, ½ poivron","Poivrons, vert",,,
vf,1,"125 mL, ½ tasse",Zucchini,,,
vf,0,3 fruits,"Abricot, frais",,,
vf,0,"125 mL, ½ tasse, 1 tranche",Ananas,,,
vf,0,"125 mL, ½ tasse",Aubergine,,,
vf,0,½ fruit,Avocat,,,
vf,0,1 moyenne,Banane,,,
vf,0,"125 mL, ½ tasse",Banane plantain,,,
vf,0,"125 mL, ½ tasse",Betteraves,,,
vf,0,1 tige moyenne,Céleri,,,
vf,0,"125 mL, ½ tasse",Cantaloup,,,
vf,0,20 fruits,Cerises,,,
vf,0,"125 mL, ½ tasse",Champignons,,,
vf,0,"125 mL, ½ tasse",Chayotte,,,
vf,0,"125 mL, ½ tasse",Chou,,,
vf,0,"125 mL, ½ tasse, 4 fleurettes ou bouquets",Chou-fleur,,,
vf,0,"125 mL, ½ tasse",Chou-rave,,,
vf,0,"125 mL, ½ tasse",Concombre,,,
vf,0,2 moyennes,"Figues, fraîches",,,
vf,0,"60 mL, ¼ tasse",Fruits séchés,,,
vf,0,"125 mL, ½ tasse, 1 fruit",Goyave,,,
vf,0,"125 mL, ½ tasse",Haricots jaunes,,,
vf,0,"125 mL, 1/2 tasse","Jus de fruits, 100% purs",,,
vf,0,"125 mL, ½ tasse","Jus de légumes, teneur plus faible en sodium",,,
vf,0,1 gros fruit,Kiwi,,,
vf,0,"125 mL, ½ tasse",Légumes mélangés,,,
vf,0,"250 mL, 1 tasse crue",Laitue (exemple : iceberg ou beurre),,,
vf,0,10 fruits,Litchis,,,
vf,0,"1 épi, 125 mL, ½ tasse",Maïs,,,
vf,0,"125 mL, ½ tasse, ½ fruit",Mangue,,,
vf,0,"125 mL, ½ tasse, ½ fruit",Margose (poire de merveille),,,
vf,0,"125 mL, ½ tasse",Melon d'eau,,,
vf,0,"125 mL, ½ tasse",Melon miel,,,
vf,0,"125 mL, ½ tasse",Navet,,,
vf,0,1 fruit,Nectarine,,,
vf,0,1 moyenne,Orange,,,
vf,0,1 moyenne,Pêche,,,
vf,0,½ fruit,Pamplemousse,,,
vf,0,½ fruit,Papaye,,,
vf,0,"125 mL, ½ tasse",Petits fruits (baies),,,
vf,0,1 moyenne,Poire,,,
vf,0,"125 mL, ½ tasse, ½ poivron","Poivrons, doux",,,
vf,0,1 moyenne,Pomme,,,
vf,0,"125 mL, ½ tasse, ½ moyenne",Pomme de terre,,,
vf,0,"125 mL, ½ tasse",Pousses de bambou,,,
vf,0,1 fruit,Prune,,,
vf,0,"125 mL, ½ tasse",Radis,,,
vf,0,20 fruits,Raisins,,,
vf,0,"125 mL, ½ tasse",Rhubarbe,,,
vf,0,"125 mL, ½ tasse",Sauce aux tomates,,,
vf,0,"125 mL, ½ tasse",Tomates,,,
gr,3,"½ bagel, 45 g","Bagel, grains entiers",,,
gr,3,"125 mL, ½ tasse cuit",Boulghour, ,,
gr,3,"150 g, 175 mL,  ¾ tasse cuites","Céréales chaudes, grains entiers (exemple : gruau)",,,
gr,3,30 g,"Céréales froides, grains entiers",,,
gr,3,"125 mL, ½ tasse cuit","Couscous, blé entier",,,
gr,3,30 g,"Craquelins, blé entier",,,
gr,3,30 g,Galettes de seigle,,,
gr,3,"500 mL, 2 tasses","Maïs soufflé, sans gras ou sans sel ajouté",,,
gr,3,"½ muffin, 35 g","Muffin anglais, grains entiers",,,
gr,3,½,"Muffin, grains entiers",,,
gr,3,"125 mL, ½ tasse cuite",Orge,,,
gr,3,"125 mL, ½ tasse cuites","Pâtes alimentaires/nouilles, grains entiers",,,
gr,3,"1 tranche, 35 g","Pain, grains entiers",,,
gr,3,"1 tranche, 35 g","Pain, pumpernickel ou seigle",,,
gr,3,"1 petit pain, 35 g","Petit pain, blé entier",,,
gr,3,"½ pita, 30 g","Pita, grains entiers",,,
gr,3,"125 mL, ½ tasse cuit",Quinoa,,,
gr,3,"125 mL, ½ tasse cuit","Riz, brun",,,
gr,3,"125 mL, ½ tasse cuit","Riz, sauvage",,,
gr,3,"½ tortilla, 35 g","Tortilla, blé entier",,,
gr,4,"1 tranche, 35 g",Baguette française,,,
gr,4,"1 moyenne, 35 g",Bannique,,,
gr,4,"150 g, 175 mL, ¾ tasse cuites",Céréales chaudes (exemple : crème de blé),,,
gr,4,30 g,Céréales froides,,,
gr,4,"125 mL, ½ tasse cuit",Congee,,,
gr,4,"125 mL, ½ tasse cuit",Couscous,,,
gr,4,"1 petite, 35 g",Crêpe,,,
gr,4,"10, 30 g","Craquelins, biscuits soda",,,
gr,4,2 moyennes,"Galettes de riz, nature",,,
gr,4,"½ muffin, 35 g","Muffin anglais, blanc",,,
gr,4,"¼ naan, 35 g",Naan,,,
gr,4,"125 mL, ½ tasse cuites","Pâtes alimentaires/nouilles, blanches",,,
gr,4,"1 tranche, 35 g",Pain de maïs,,,
gr,4,"1 tranche, 35 g","Pain, blanc",,,
gr,4,"1 petit pain, 35 g","Petit pain, blanc",,,
gr,4,"½ pita, 35 g","Pita, blanc",,,
gr,4,"125 mL, ½ tasse cuite",Polenta,,,
gr,4,"125 mL, ½ tasse cuit","Riz, blanc",,,
gr,4,"½ tortilla, 35 g","Tortilla, maïs",,,
mi,5,"250 mL, 1 tasse","Lait, écrémé, 1%, 2%",,,
mi,5,"125 mL, ½ tasse non dilué","Lait, évaporé, en conserve",,,
mi,5,"250 mL, 1 tasse","Lait, chèvre, enrichi",,,
mi,5,"250 mL, 1 tasse dilué","Lait, en poudre",,,
mi,5,"25 g, 75 mL, 1/3 tasse","Lait, en poudre",,,
mi,5,"250 mL, 1 tasse","Lait, entier",,,
mi,5,"250 mL, 1 tasse","Lait, réduit en lactose",,,
mi,6,"250 mL, 1 tasse",Babeurre,,,
mi,6,"250 mL, 1 tasse",Boisson de soya enrichie (non sucré),,,
mi,6,"50 g, 1½ oz","Fromage, chèvre",,,
mi,6,"250 mL, 1 tasse","Fromage, cottage ou quark (caillebotte)",,,
mi,6,"50 g, 1½ oz","Fromage, pâte ferme (cheddar, Mozzarella, suisse, feta)",,,
mi,6,"175 g, 175 mL, ¾ tasse",Kéfir,,,
mi,6,"50 g, 1½ oz",Panir,,,
mi,6,"175 g, ¾ tasse",Yogourt (nature),,,
me,7,"30 mL, 2 c. à tab.",Beurre d'arachide ou beurres de noix,,,
me,7,"60 mL, ¼ tasse","Graines, écalées",,,
me,7,"175 mL, ¾ tasse","Haricots, cuits ou en conserve",,,
me,7,"175 mL, ¾ tasse",Hoummos --,"
me,7,175 mL"," ¾ tasse""",Lentilles
me,7,"60 mL, ¼ tasse","Noix, écalées",,,
me,7,2,Oeufs,,,
me,7,"150 g, 175 mL, ¾ tasse",Tofu,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Abats (exemple : foie, rognons)",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Agneau,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Bison/buffle,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Boeuf,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Canard,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Chèvre,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Charcuteries, faibles en gras, teneur plus faible en sodium",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Dinde,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Fruits de mer, frais ou congelés (exemple : palourdes, crabe, homard, moules, pétoncles, crevettes)",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Gibier à plumes (exemple : lagopède des rochers, perdrix, coq de bruyère, oie)",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Gibier (exemple : cerf, orignal, caribou, wapiti)",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Jambon,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Lapin/lièvre,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Poissons et fruits de mer, en conserve (crabe, saumon, thon)",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),"Poissons et fruits de mer, frais ou congelés (p.ex., hareng, maquereau, truite, saumon, sardines, calmar, thon)",,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Porc,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Poulet,,,
me,8,75 g (2 ½ oz) / 125 mL (½ tasse),Veau,,,
